event_id,title,crime_type,crime_type_zh,city,state,lat,lng,source_media,news_url,pub_time,pub_ts,city_method,llm_verified,llm_score,llm_state,llm_city,llm_neighbor,llm_type,etl_dt
inc_1336,Caso Ana Paula: o que se sabe sobre o feminicídio da advogada morta pelo ex-marido em MG,homicidio,凶杀,Governador Valadares,MG,-18.863177,-41.97281,G1 Vales MG,https://g1.globo.com/mg/vales-mg/noticia/2026/06/18/caso-ana-paula-o-que-se-sabe-sobre-o-feminicidio-da-advogada-morta-pelo-ex-marido-em-mg.ghtml,2026-06-18T09:00:20+00:00,1781773220,default,,,,,,,20260622
inc_1337,Caso Ana Paula: o que se sabe sobre o feminicídio da advogada morta pelo ex-marido em MG - G1,homicidio,凶杀,Governador Valadares,MG,-18.869419,-41.94366,GNews Governador Valadares #1,https://news.google.com/rss/articles/CBMi3gFBVV95cUxOcGNiUlJfVTM0UVVZalJNckd4UFM3LUNiTVJVdmRhTUR3emVhaF9XZ05sT1Y1Vmhld01zWW1qYmI4VDBuODdYQmcwUzlQYlBHQmk5Vm93VFBDODJldzNCZHdmODZkUHhHRnFLREVPbjhlYzF6am55dlZkTXFCRVV3X3BNelZ3dXV2OVdaNFFvSFlpbGs0NDNEaENYQ19yOXBMV0NOb0g1Nl9IN2VDOXZxOHhEUTAteGcxUE5TRFZnVkNxb1VkM1BEbXAxcTI0TjNtZ0R1NExqcVdtaFlOa3fSAewBQVVfeXFMTnF0bEhvXzNoTnlCX1R1MzN6NjZFMlVuOFc1TjdrOGdEX3VZSXFUY29tS3RoMVRRaEg1cC15NXZnZV9VVk9mLV9wSGJwdWk2TTVCeEViOTFzSnh5aDJxX21GZlNIWGp5eTh6MEY0azNUNk0ydzRyNGgycWk2Mkh4Z1FnVVlFTW5RSVMzaW1xdTZhZjR3Mi15dmxiWkp3dXFnUzV3QzJoYXFGaUZ1bTFaUEtnWmJ6LXVmQnlzZUxfLW02STRKcHMxWHRVRGcwTUJOT1B5NEJkanpJR0VtQ0xkdkRUbVBVbVpIdDZQd2Q?oc=5,2026-06-18T09:00:20+00:00,1781773220,default,,,,,,,20260622
inc_1338,"Governo do Amazonas atrasa repasses e médicos de SPAs de Manaus aguardam pagamentos de 2025, diz empresa",outros,其他,Manaus,AM,-3.103681,-60.004295,G1 Amazonas,https://g1.globo.com/am/amazonas/noticia/2026/06/18/governo-do-amazonas-atrasa-repasses-e-medicos-de-spas-de-manaus-aguardam-pagamentos-de-2025-diz-empresa.ghtml,2026-06-18T09:00:12+00:00,1781773212,title,,,,,,,20260622
inc_1339,Jovem negro tenta impedir roubo e passa 74 dias preso injustamente em São Paulo - Agência Pública,roubo,抢劫,São Paulo,SP,-23.573256,-46.619295,GNews São Paulo #1,https://news.google.com/rss/articles/CBMirgFBVV95cUxPYkVBbm1wNWJ6UktMN1BzMDU5OXFLUW53Nk1ZRmNMbjA1NFVpV3JyX2k2SnBOMkVJa0Nxd2oxNWNlT0FuZk5CdE1JOFRMd1EzVGxuSkFLQS00dVBKSVpJeURkSXI5dFQxNTNSSHlBR3JodnVUMGlDTnlxM2VzN0hSek9PdkFISDFSMWFfQ3gxZXpuRFlQWmVfdWJuZWtOMUpqWl8zS3pKSGdXUHBZU0HSAbMBQVVfeXFMT3BLdE1rMG41alpMa3VGdmVsZG9uZEY2UUExUjRtbUQtTkFLbi1iS1c3RnRsUWRrVWtTcHhIZm82WkIwUHMtNXpGb3VCSHdONTUwNElJRjZxM1MyRDdrR0JUdUNNbVlZam1ndFQtSFFWaUhZTHA1ZmY3UDRjckxrYlZUem5Reld6SW5yWVdoNWdoNFpNdW1hYTYtOTVERzdvME80MDRMQWNEWEpZUmk5Nk5PT0k?oc=5,2026-06-18T08:18:42+00:00,1781770722,title,,,,,,,20260622
inc_1340,Vice-prefeita acusada de desviar R$ 41 mil para amarração amorosa pode perder cargo e ficar inelegível; entenda,fraude,诈骗,Santos,SP,-23.949033,-46.317547,G1 Santos,https://g1.globo.com/sp/santos-regiao/noticia/2026/06/18/vice-prefeita-acusada-de-desviar-r-41-mil-para-amarracao-amorosa-pode-perder-cargo-e-ficar-inelegivel-entenda.ghtml,2026-06-18T08:12:32+00:00,1781770352,default,,,,,,,20260622
inc_1341,Casal de brasileiros é surpreendido ao chegar em hotel no Chile e descobrir que reserva não existia,outros,其他,Santos,SP,-23.94947,-46.335548,G1 Santos,https://g1.globo.com/sp/santos-regiao/noticia/2026/06/18/casal-de-brasileiros-e-surpreendido-ao-chegar-em-hotel-no-chile-e-descobrir-que-reserva-nao-existia.ghtml,2026-06-18T08:12:30+00:00,1781770350,default,,,,,,,20260622
inc_1342,Sogra empresta celular para nora denunciar agressões do filho e homem é preso em Uberlândia,homicidio,凶杀,Uberlândia,MG,-18.928681,-48.254135,G1 Triângulo Mineiro,https://g1.globo.com/mg/triangulo-mineiro/noticia/2026/06/18/sogra-empresta-celular-para-nora-denunciar-agressoes-do-filho-e-homem-e-preso-em-uberlandia.ghtml,2026-06-18T08:04:17+00:00,1781769857,title,,,,,,,20260622
inc_1343,Viúva de campeão de vaquejada relembra planos do casal e cobra prisão do suspeito de homicídio: 'Mudou minha vida totalmente',homicidio,凶杀,Fortaleza,CE,-3.706724,-38.519488,G1 Ceará,https://g1.globo.com/ce/ceara/noticia/2026/06/18/viuva-de-campeao-de-vaquejada-relembra-planos-do-casal-e-cobra-prisao-do-suspeito-de-homicidio-mudou-minha-vida-totalmente.ghtml,2026-06-18T08:04:13+00:00,1781769853,default,,,,,,,20260622
inc_1344,"Homem é preso suspeito de aplicar golpe de mais de R$ 1,1 milhão com falsos investimentos em Porto Alegre",violencia,暴力,Porto Alegre,RS,-30.031225,-51.210584,G1 Rio Grande do Sul,https://g1.globo.com/rs/rio-grande-do-sul/noticia/2026/06/18/homem-preso-suspeito-aplicar-golpe-r-11-milhao-falsos-investimentos-porto-alegre.ghtml,2026-06-18T08:02:05+00:00,1781769725,title,,,,,,,20260622
inc_1345,Menino com primeiro caso de doença genética rara identificada no Brasil retorna ao país curado após quatro meses nos EUA,homicidio,凶杀,Uberlândia,MG,-18.902823,-48.255723,G1 Triângulo Mineiro,https://g1.globo.com/mg/triangulo-mineiro/noticia/2026/06/18/menino-com-primeiro-caso-de-doenca-genetica-rara-identificada-no-brasil-retorna-ao-pais-curado-apos-quatro-meses-nos-eua.ghtml,2026-06-18T08:00:08+00:00,1781769608,default,,,,,,,20260622
